category,product name,location,price,overall rating,number sold,total review,customer rating,customer review,sentiment,emotion
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Kota Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,1,happy
computers and laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",1,happy
computers and laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Kota Jakarta Barat,213000,5,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",1,happy
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Kota Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,1,happy
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Kota Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",1,happy
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Kota Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",1,happy
computers and laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Kota Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,1,happy
computers and laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Kota Jakarta Barat,136500,5,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",1,happy
computers and laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Kota Jakarta Barat,136500,5,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,1,happy
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Kota Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,1,happy
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Kota Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",1,happy
computers and laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Kota Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,1,happy
computers and laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Kota Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",1,happy
computers and laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Kota Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",1,happy
computers and laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,1,happy
computers and laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",1,happy
computers and laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Kota Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,1,happy
computers and laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Kota Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,1,happy
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,1,happy
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",1,happy
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",1,happy
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",1,happy
computers and laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Kota Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,1,happy
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Kota Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",1,happy
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Kota Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,1,happy
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Kota Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,1,happy
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Kota Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",1,happy
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",1,happy
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,1,happy
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,1,happy
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",1,happy
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Kota Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,1,happy
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Kota Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",1,happy
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Kota Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",1,happy
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Kota Jakarta Barat,365000,5,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,1,happy
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Kota Jakarta Barat,365000,5,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",1,happy
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Kota Jakarta Barat,365000,5,2554,1396,5,"Pengiriman cepat, seller responsif ??",1,happy
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Kota Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,1,happy
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Kota Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",1,happy
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Kota Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,0,sadness
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Kota Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",0,sadness
computers and laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Kota Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,0,sadness
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Kota Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,0,sadness
computers and laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,0,sadness
computers and laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",0,sadness
computers and laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,0,sadness
computers and laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Kota Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",0,sadness
computers and laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Kota Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",0,sadness
computers and laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Kota Jakarta Pusat,279000,5,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",0,sadness
computers and laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Kota Jakarta Pusat,119000,5,2215,1010,1,Data sering error dan hilang ??,0,sadness
computers and laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Kota Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",0,sadness
computers and laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Kota Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",0,sadness
computers and laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Kota Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,0,sadness
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Kota Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",0,sadness
computers and laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,0,sadness
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,0,sadness
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",0,sadness
