category,product name,location,price,overall rating,number sold,total review,customer review,sentiment,region,salary
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,jakarta utara,53500,4.9,5449,2369,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,1,dki jakarta,5396760.0
computers and laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,tangerang selatan,72000,4.9,2359,1044,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",1,banten,2905119.0
computers and laptops,SSD Midasforce 128 Gb - Tanpa Caddy,jakarta barat,213000,5.0,12300,3573,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",1,dki jakarta,5396760.0
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,jakarta timur,55000,4.7,2030,672,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,1,dki jakarta,5396760.0
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,jakarta timur,55000,4.7,2030,672,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",1,dki jakarta,5396760.0
computers and laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,jakarta timur,55000,4.7,2030,672,"barang bagus, seller ramah..",1,dki jakarta,5396760.0
computers and laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,jakarta selatan,85000,4.9,1339,718,mantap paten joss,1,dki jakarta,5396760.0
computers and laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,jakarta barat,136500,5.0,1201,632,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",1,dki jakarta,5396760.0
computers and laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,jakarta barat,136500,5.0,1201,632,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,1,dki jakarta,5396760.0
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,jakarta barat,113777,4.9,1630,777,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,1,dki jakarta,5396760.0
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,jakarta barat,113777,4.9,1630,777,"Pengiriman super cepat, barang bagus, recommended seller, thanks",1,dki jakarta,5396760.0
computers and laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,jakarta utara,66000,4.8,2702,882,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,1,dki jakarta,5396760.0
computers and laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,jakarta pusat,25000,4.9,2122,828,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",1,dki jakarta,5396760.0
computers and laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,jakarta pusat,55000,4.9,2010,970,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",1,dki jakarta,5396760.0
