Category,Category Link,Movie Title,Critics Score,Audience Score
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,HIM,,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,A Big Bold Beautiful Journey,52%,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Lost Bus,82%,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Steve,72%,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Senior,,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Downton Abbey: The Grand Finale,91%,96%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Long Walk,89%,85%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Demon Slayer: Kimetsu no Yaiba Infinity Castle,98%,98%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Conjuring: Last Rites,57%,79%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Adulthood,,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The History of Sound,68%,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Spinal Tap II: The End Continues,66%,91%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Caught Stealing,84%,83%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Rabbit Trap,40%,
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Light of the World,85%,96%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Twinless,97%,95%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Threesome,77%,72%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Weapons,94%,85%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,The Roses,65%,79%
Movies in Theaters,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:newest,Relay,78%,89%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Gen V,89%,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Black Rabbit,77%,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Morning Show,,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Futurama,,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Wrong Paris,64%,55%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Rebel Royals: An Unlikely Love Story,,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Reasonable Doubt,,
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Only Murders in the Building,97%,93%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Task,89%,65%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Walking Dead: Daryl Dixon,80%,71%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Wednesday,87%,76%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Girlfriend,86%,77%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Paper,84%,72%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Platonic,100%,85%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Alien: Earth,95%,72%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Peacemaker,99%,80%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,NCIS: Tony & Ziva,88%,85%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,The Terminal List: Dark Wolf,75%,82%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Irish Blood,80%,50%
Watch At Home,https://www.rottentomatoes.com/browse/tv_series_browse/,Invasion,67%,52%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Weapons,94%,85%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Ne Zha II,91%,98%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Jurassic World Rebirth,50%,71%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Mission: Impossible - The Final Reckoning,80%,88%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Nobody 2,78%,89%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Relay,78%,89%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,28 Years Later,89%,63%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,The Naked Gun,88%,73%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Superman,83%,90%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Americana,64%,77%
